,words,translate,frequency,ngram
0,閧,閧,1115,1
1,轤,轤,1037,1
2,枚,장,922,1
3,黷,검게 하다,640,1
4,悤,悤,635,1
5,新,새로운,492,1
6,家,집,480,1
7,販,팔다,477,1
8,打,히트,475,1
9,映,비추다,465,1
10,還,또한,465,1
11,兄,오빠,465,1
12,棚,선반,465,1
13,蝠,박쥐,465,1
14,數,번호,465,1
15,家打,홈 히트,465,2
16,打映,플레이,465,2
17,還兄,또한 형제,465,2
18,蝠數,박쥐,465,2
19,家打映,홈 플레이,465,3
20,古,고대,458,1
21,關,끄다,457,1
22,価,가전,457,1
23,關販,세관,457,2
24,出,밖,413,1
25,醫,의료,373,1
26,學,배우다,373,1
27,士,Shi,373,1
28,醫學,약,373,2
29,學士,미혼 남자,373,2
30,醫學士,의학 학사,373,3
31,過,통과하다,361,1
32,係,관계,354,1
33,関,관,263,1
34,邾,Cu,261,1
35,関係,관계,244,2
36,労,노동,201,1
37,単,단,194,1
38,能,할 수있다,193,1
39,驍,샤오,185,1
40,甃,甃,179,1
41,邩,유,178,1
42,的,의,175,1
43,男,남성,170,1
44,人,사람들,165,1
45,副,바이스,152,1
46,竄,채널,132,1
47,真,진실,122,1
48,点,포인트,117,1
49,不,하지 마라,110,1
50,用,사용하다,109,1
51,稼,Jia,109,1
52,炱,수,105,1
53,邩炱,상,105,2
54,信,편지,99,1
55,固,고체,93,1
56,邯,한단,90,1
57,車,차,89,1
58,炪,炪,89,1
59,撣,먼지,88,1
60,撣点,먼지 제거,88,2
61,谷,골짜기,84,1
62,子,아이,84,1
63,思,생각한다,83,1
64,昔,옛날,83,1
65,登,판,82,1
66,菇,버섯,82,1
67,宅,집,82,1
68,近,근처에,81,1
69,畏,무서움,80,1
70,領,칼라,77,1
71,題,질문,76,1
72,融,용해,72,1
73,以,에,71,1
74,称,달다,71,1
75,確,과연,70,1
76,目,눈,70,1
77,住,라이브,69,1
78,蓄,축적하다,67,1
79,繰,반복,67,1
80,僻,외딴,65,1
81,歓,환,64,1
82,増,증가,63,1
83,好,좋다,62,1
84,宅副,하원 대리인,59,2
85,粁,킬로미터,58,1
86,細,좋아,57,1
87,痰,담,56,1
88,知,알고있다,55,1
89,行,열,54,1
90,髢,髢,54,1
91,謔,경멸,53,1
92,連,조차,53,1
93,選,선택된,51,1
94,竝,과,50,1
95,上,의 위에,49,1
96,利,이익,49,1
97,利用,이용,49,2
98,合,결합시키다,49,1
99,目的,목적,48,2
100,典,암호,48,1
101,渉,와타루,47,1
102,渉能,Meng Neng,47,2
103,会,모임,47,1
104,返,반환,46,1
105,返信,회신,46,2
106,夏,여름,46,1
107,女,여자,45,1
108,設,취하다,45,1
109,介,설명하다,45,1
110,対,대,44,1
111,可,할 수있다,44,1
112,地,바닥,44,1
113,空,공기,44,1
114,鉱,광석,44,1
115,借,빌다,43,1
116,可能,할 수있다,43,2
117,簡,단순한,43,1
118,簡単,쉽게,43,2
119,成,만들다,42,1
120,骭,정강이,42,1
121,最,대부분,41,1
122,象,처럼,40,1
123,輸,잃다,40,1
124,楽,편하게,40,1
125,運,운,39,1
126,歌,노래,39,1
127,堕,가을,39,1
128,兎,토끼,38,1
129,対歌,対歌,38,2
130,送,포기하다,37,1
131,摸,접촉,37,1
132,髀,대퇴골,37,1
133,辜,구,37,1
134,用髀,음,37,2
135,髀領,칼라,37,2
136,男辜,남성 구,37,2
137,利用髀,활용,37,3
138,用髀領,칼라,37,3
139,利用髀領,칼라 사용,37,4
140,癖,버릇,37,1
141,定,세트,37,1
142,碧,Bi,37,1
143,規,규제,36,1
144,愛,사랑,36,1
145,為,...에 대한,36,1
146,請,부디,36,1
147,空請,무료주세요,36,2
148,鼠,쥐,36,1
149,起,에서,35,1
150,大,큰,35,1
151,在,에,35,1
152,断,단절,34,1
153,断黷,부서진,34,2
154,本,이,34,1
155,碁,Qi,34,1
156,成碁,청치,34,2
157,照,에 따르면,34,1
158,韓,한국어,34,1
159,鞫,鞫,34,1
160,庫,도서관,34,1
161,庫固,쿠구,34,2
162,業,산업,34,1
163,五,파이브,33,1
164,蔑,도말 표본,33,1
165,罪,범죄,32,1
166,焦,콜라,32,1
167,間,중에서,31,1
168,間固,마고,31,2
169,設定,설정,31,2
170,椎,척추,30,1
171,事,일,29,1
172,栓,볼트,29,1
173,栓増,Shuanzhang,29,2
174,適,적당한,29,1
175,綿,면,29,1
176,要,필요,29,1
177,一,하나,29,1
178,爪,손톱,28,1
179,奥,오,28,1
180,満,만,28,1
181,熟,중년,28,1
182,必,절대로 필요한 것,28,1
183,闕,Que,28,1
184,槐,화이,28,1
185,闕槐,Que Huai,28,2
186,使,하다,28,1
187,嫁,며느리,27,1
188,迂,원형 교차로,27,1
189,体,몸,27,1
190,攻,공격,27,1
191,轣,轣,27,1
192,良,장점,26,1
193,惰,게으른,26,1
194,鞍,안장,26,1
195,考,테스트,26,1
196,妻,아내,25,1
197,後,후방,25,1
198,腐,썩음,25,1
199,後腐,부패 후,25,2
200,短,짧은,25,1
201,夐,夐,25,1
202,稜,용마루,25,1
203,撮,촬영,25,1
204,繧,SaaS는,25,1
205,終,종료,24,1
206,滅,끄다,24,1
207,章,장,24,1
208,拶,拶,24,1
209,募,올리다,24,1
210,募歓,모집,24,2
211,己,이미,24,1
212,淑,슈,23,1
213,所,그래서,23,1
214,蜉,蜉,23,1
215,但,그러나,23,1
216,手,손,23,1
217,探,탐색,23,1
218,祐,유우,23,1
219,闢,열다,23,1
220,秘,비밀,23,1
221,僅,뿐,22,1
222,噌,베이스,22,1
223,宰,학살,22,1
224,僅噌,뿐,22,2
225,姿,모습,22,1
226,姿謔,자세,22,2
227,衿,금천구,22,1
228,複,복수,22,1
229,就,의 위에,22,1
230,以称,무게,22,2
231,生,출산하다,22,1
232,仕,공무원,22,1
233,開,열다,22,1
234,馨,신,22,1
235,系,체계,22,1
236,密,밀집한,22,1
237,秘密,비밀,22,2
238,爺,지배자,21,1
239,覚,각서,21,1
240,爺所,Yesuo,21,2
241,嬬,嬬,21,1
242,帰,귀국,21,1
243,舎,사,21,1
244,調,곡조,21,1
245,紀,징계,21,1
246,調紀,따오기,21,2
247,照出,비추다,21,2
248,蛾,나방,21,1
249,大歓,오조,21,2
250,秋,가을,21,1
251,幅,폭,21,1
252,謖,谡,21,1
253,歉,사과하다,21,1
254,近秋,가까운 가을,21,2
255,地謖,地謖,21,2
256,謖歉,謖歉,21,2
257,地謖歉,사과하다,21,3
258,城,시티,21,1
259,色,색상,21,1
260,電,전기,20,1
261,嬬電,Huadian,20,2
262,按,프레스,20,1
263,与,대,20,1
264,排,열,20,1
265,縞,줄무늬,20,1
266,最適,최적,20,2
267,呆,머무르다,20,1
268,岨,Rocky Hill,20,1
269,販出,매진,20,2
270,気,신경,20,1
271,性,섹스,19,1
272,悩,뇌,19,1
273,束,묶음,19,1
274,発,발,19,1
275,栗,밤나무,19,1
276,発栗,発栗,19,2
277,篤,확인,19,1
278,扶,도움,19,1
279,在宅,재택,19,2
280,圭,Gui,18,1
281,皐,가오,18,1
282,喫,喫,18,1
283,犯,범하다,18,1
284,畏必,두려워,18,2
285,請喫,請喫,18,2
286,請粁,부디,18,2
287,粁犯,갱 단원,18,2
288,犯罪,범죄,18,2
289,罪行,위반,18,2
290,畏関,두려워,18,2
291,関与,참여,18,2
292,畏排,공황,18,2
293,空請喫,하늘 請喫,18,3
294,空請粁,비워주세요,18,3
295,請粁犯,제발 유죄,18,3
296,粁犯罪,범죄,18,3
297,犯罪行,범죄,18,3
298,畏関与,두려워 참여,18,3
299,空請粁犯,무료 갱스터,18,4
300,請粁犯罪,죄를 지으십시오,18,4
301,粁犯罪行,범죄,18,4
302,空請粁犯罪,자유 범죄,18,5
303,請粁犯罪行,범죄를 저 지르세요,18,5
304,闇,어둠,18,1
305,称子,쇼코,18,2
306,削,절단,18,1
307,看,보기,18,1
308,機,기계,18,1
309,真黷,정말,18,2
310,呼,요구,18,1
311,隠,숨겨진,17,1
312,蟹,게,17,1
313,展,전시회,17,1
314,羨,부러워하다,17,1
315,判,판사,17,1
316,判黷,판사,17,2
317,柴,장작,17,1
318,愴,슬퍼,17,1
319,彎,굽히다,17,1
320,鞫愴,다지,17,2
321,鞫彎,굽히다,17,2
322,獣,짐승,17,1
323,狗,개,17,1
324,敷,대다,17,1
325,埼,사키,17,1
326,卒,졸업,17,1
327,副業,부업,17,2
328,埼生,埼生,17,2
329,生卒,生卒,17,2
330,卒業,졸업,17,2
331,埼生卒,埼生 졸업,17,3
332,生卒業,생 졸업,17,3
333,埼生卒業,埼生 졸업,17,4
334,窿,구멍,17,1
335,信驍,신 샤오,17,2
336,槐昔,화시,17,2
337,昔男,옛날 사람,17,2
338,返信驍,댓글,17,3
339,闕槐昔,闕槐 옛날,17,3
340,槐昔男,화이 시난,17,3
341,闕槐昔男,케 화이시 난,17,4
342,無,아니,17,1
343,夜,밤,17,1
344,年,년,17,1
345,那,그,16,1
346,硝,질산염,16,1
347,午,정오,16,1
348,亀,거북이,16,1
349,姑,이모,16,1
350,信痰,신뢰할 수 있는,16,2
351,蔑仕,미시,16,2
352,誰,WHO,16,1
353,予,주기,16,1
354,接,픽업,16,1
355,旅,여행,16,1
356,緒,실,16,1
357,一緒,함께,16,2
358,税,세,15,1
359,肘,팔꿈치,15,1
360,益,유익한,15,1
361,欲,필요,15,1
362,纒,입고,15,1
363,髞,髞,15,1
364,配,시합,15,1
365,篤稼,아츠 카,15,2
366,痴,어리석은,15,1
367,米,미터,15,1
368,破,부서진,15,1
369,堕能,가을 에너지,15,2
370,米的,쌀,15,2
371,在宅副,재택 부,15,3
372,们,그들,15,1
373,紹,Shao,14,1
374,夢,꿈,14,1
375,罪按,범죄,14,2
376,惜,동정,14,1
377,瑚,산호,14,1
378,惜瑚,시후,14,2
379,供,...에 대한,14,1
380,都,모두,14,1
381,構,구조,14,1
382,怒,성난,14,1
383,忍,견디다,14,1
384,緬,미얀마,14,1
385,帽,캡,14,1
386,遊,여행,14,1
387,勤,부지런함,14,1
388,以焦,초점을,14,2
389,焦怒,분노,14,2
390,以焦怒,분노,14,3
391,無領,칼라리스,14,2
392,団,団,13,1
393,十,십,13,1
394,畏不,畏不,13,2
395,〇,〇,13,1
396,指,방법,13,1
397,監,감독,13,1
398,粗,粗,13,1
399,外,外,13,1
400,種,種,13,1
401,家粗,家粗,13,2
402,鶴,두루미,13,1
403,達,범위,13,1
404,待,되려고,13,1
405,有,있다,13,1
406,皇,황제,13,1
407,顔,얼굴,13,1
408,世,世,13,1
409,笠,笠,12,1
410,曇,曇,12,1
411,吸,吸,12,1
412,粘,粘,12,1
413,蒙,蒙,12,1
414,石,결석,12,1
415,社,社,12,1
416,以淑,以淑,12,2
417,社団,社団,12,2
418,遅,遅,12,1
419,始,始,12,1
420,抜,抜,12,1
421,蝕,蝕,12,1
422,汝,汝,12,1
423,菱,菱,12,1
424,斯,에스,12,1
425,計,計,12,1
426,紗,실,12,1
427,哉,哉,12,1
428,呆抜,呆抜,12,2
429,抜蝕,抜蝕,12,2
430,汝利,汝利,12,2
431,知閧,知閧,12,2
432,蛾副,蛾副,12,2
433,滅探,滅探,12,2
434,体菱,体菱,12,2
435,粁斯,粁斯,12,2
436,体募,体募,12,2
437,呆抜蝕,呆抜蝕,12,3
438,汝利用,汝利用,12,3
439,体募歓,体募歓,12,3
440,動,動,12,1
441,学,学,12,1
442,辛,辛,12,1
443,迚,迚,12,1
444,辛迚,辛迚,12,2
445,迭,迭,12,1
446,折,折,12,1
447,邮,邮,12,1
448,他,他,12,1
449,囲,囲,11,1
450,急,急,11,1
451,注,注,11,1
452,笂,笂,11,1
453,青,青,11,1
454,近称,近称,11,2
455,淑闕,淑闕,11,2
456,槐固,槐固,11,2
457,青能,青能,11,2
458,淑闕槐,淑闕槐,11,3
459,闕槐固,闕槐固,11,3
460,淑闕槐固,淑闕槐固,11,4
461,畢,畢,11,1
462,嘩,嘩,11,1
463,高,高,11,1
464,栂,栂,11,1
465,蕉,蕉,11,1
466,娯,娯,11,1
467,湛,湛,11,1
468,栂蕉,栂蕉,11,2
469,設湛,設湛,11,2
470,違,違,11,1
471,件,件,11,1
472,了,了,11,1
473,邮件,邮件,11,2
474,布,布,10,1
475,堤,堤,10,1
476,即,即,10,1
477,倒,倒,10,1
478,鼓,鼓,10,1
479,闥,闥,10,1
480,堤即,堤即,10,2
481,連闥,連闥,10,2
482,若,若,10,1
483,芝,芝,10,1
484,語,語,10,1
485,港,港,10,1
486,得,得,10,1
487,錬,錬,9,1
488,牝,牝,9,1
489,話,話,9,1
490,牝適,牝適,9,2
491,活,活,9,1
492,頴,頴,9,1
493,尋,尋,9,1
494,赦,赦,9,1
495,駿,駿,9,1
496,在打,在打,9,2
497,蛾事,蛾事,9,2
498,赦覚,赦覚,9,2
499,撲,撲,9,1
500,巧,巧,9,1
501,粁巧,차오 차오,9,2
502,届,届,9,1
503,力,힘,9,1
504,来,来,9,1
505,頁,페이지,8,1
506,標,표,8,1
507,板,板,8,1
508,箆,箆,8,1
509,詳,詳,8,1
510,詳細,詳細,8,2
511,閭,루,8,1
512,追,추적,8,1
513,逅,逅,8,1
514,独,独,8,1
515,約,約,8,1
516,独思,独思,8,2
517,約束,約束,8,2
518,呆得,呆得,8,2
519,奴,奴,8,1
520,后,后,8,1
521,是,예,8,1
522,个,个,8,1
523,蹟,蹟,8,1
524,艪,태양,7,1
525,頓,중지,7,1
526,薙,薙,7,1
527,演,플레이,7,1
528,顎,顎,7,1
529,優,우수한,7,1
530,未,아니,7,1
531,経,経,7,1
532,慨,풍부한,7,1
533,初,첫,7,1
534,凸,볼록한,7,1
535,彪,비아 오,7,1
536,頓囲,頓囲,7,2
537,舎大,사 대,7,2
538,大活,大活,7,2
539,薙演,薙演,7,2
540,未経,미 거쳐,7,2
541,凸彪,凸彪,7,2
542,舎大活,사 大活,7,3
543,浸,浸,7,1
544,繋,연결,7,1
545,義,정당성,7,1
546,玉,玉,7,1
547,骭玉,骭玉,7,2
548,正,正,7,1
549,和,和,7,1
550,这,这,7,1
551,娃,아가,7,1
552,最后,마침내,7,2
553,娃们,어린이,7,2
554,韻,운,6,1
555,閭韻,윤루,6,2
556,追夏,여름을 쫓는,6,2
557,忙,바쁜,6,1
558,您,당신,6,1
559,燦,선명한,6,1
560,庇,피난처,6,1
561,皆,모두,6,1
562,毒,독,6,1
563,頻,頻,6,1
564,閉,닫기,6,1
565,馴,길들인,6,1
566,亡,몹시 괴롭히다,6,1
567,妻単,妻単,6,2
568,庇宅,망명 하우스,6,2
569,馴副,훈련자,6,2
570,庇宅副,망명 하우스 부사장,6,3
571,籍,멤버십,6,1
572,籍確,Ji Qiao,6,2
573,対迂,対迂,6,2
574,使髢,구성하다,6,2
575,存,저장,6,1
576,着,와,6,1
577,火,불,5,1
578,申,신청,5,1
579,您好,여보세요,5,2
580,输,잃다,5,1
581,入,시작하다,5,1
582,文,본문,5,1
583,击,히트,5,1
584,保,보호,5,1
585,内,내부,5,1
586,容,함유량,5,1
587,钮,단추,5,1
588,基,베이스,5,1
589,间,중에서,5,1
590,些,약간,5,1
591,想,보고 싶어,5,1
592,哈,뭐,5,1
593,喽,喽,5,1
594,输入,시작하다,5,2
595,入邮,수신 메일,5,2
596,件正,양,5,2
597,正文,본문,5,2
598,后点,백 포인트,5,2
599,点击,클릭,5,2
600,保存,저장,5,2
601,存邮,입금 메일,5,2
602,件内,이내에,5,2
603,内容,함유량,5,2
604,按钮,단추,5,2
605,哈喽,여보세요,5,2
606,输入邮,게시물 입력,5,3
607,入邮件,수신 메일,5,3
608,邮件正,메일은 긍정적입니다,5,3
609,件正文,본문,5,3
610,最后点,마지막 포인트,5,3
611,后点击,클릭 후,5,3
612,保存邮,게시물 저장,5,3
613,存邮件,메일 저장,5,3
614,邮件内,메일에서,5,3
615,件内容,함유량,5,3
616,输入邮件,메일 입력,5,4
617,入邮件正,入邮件正,5,4
618,邮件正文,邮件正文,5,4
619,最后点击,마지막 클릭,5,4
620,保存邮件,메일 저장,5,4
621,存邮件内,메일에 저장,5,4
622,邮件内容,邮件内容,5,4
623,输入邮件正,긍정적 인 메일 입력,5,5
624,入邮件正文,수신 메시지 본문,5,5
625,保存邮件内,메시지 저장,5,5
626,存邮件内容,이메일 내용 저장,5,5
627,架,틀,5,1
628,糧,곡물,5,1
629,架糧,랙 그레인,5,2
630,舎好,좋은,5,2
631,悲,슬퍼,4,1
632,迯,이인칭 대명사,4,1
633,疑,용의자,4,1
634,汀,팅,4,1
635,疑閧,疑閧,4,2
636,宿,숙소,4,1
637,宿動,宿動,4,2
638,夏連,여름 연수,4,2
639,連閧,동축,4,2
640,追夏連,추가 여름 연수,4,3
641,夏連閧,샤 리안 홍,4,3
642,追夏連閧,샤싱 샤 롄홍,4,4
643,邱,Qiu,4,1
644,吷,吷,4,1
645,値,값,4,1
646,陀,Tuo,4,1
647,週,주,4,1
648,暇,여가,4,1
649,散,뿔뿔이 흩어진,4,1
650,骼,해골,4,1
651,遡,소급,4,1
652,傳,통과하다,4,1
653,齒,이,4,1
654,拘,체포,4,1
655,柊,히 이라기,4,1
656,護,보호,4,1
657,完,끝,4,1
658,紹暇,샤오 샤,4,2
659,骼綿,해골,4,2
660,遡闢,관,4,2
661,闢傳,전기,4,2
662,学竄,배우다,4,2
663,護完,護完,4,2
664,遡闢傳,전기,4,3
665,烧,타다,4,1
666,秀,보여 주다,4,1
667,过,통과하다,4,1
668,多,많은,4,1
669,里,에,4,1
670,一个,하나,4,2
671,到,에,4,1
672,咜,咜,4,1
673,它,그것,4,1
674,捨,처분,3,1
675,鼻,코,3,1
676,椴,Linden,3,1
677,寅,음,3,1
678,納,Na,3,1
679,山,山,3,1
680,僕,나,3,1
681,齦,고무,3,1
682,杷,비파,3,1
683,番,차례,3,1
684,捨仕,Shes,3,2
685,椴碧,타이 비,3,2
686,寅益,호랑이 이익,3,2
687,兎閧,兎閧,3,2
688,齦杷,치은 비파,3,2
689,誇,자랑,3,1
690,魅,매력,3,1
691,珊,Shan,3,1
692,貴,비싼,3,1
693,冶,빙어,3,1
694,膝,무릎,3,1
695,税出,세금 아웃,3,2
696,冶無,예우,3,2
697,記,생각해 내다,3,1
698,硅,규소,3,1
699,物,물건,3,1
700,对,옳은,3,1
701,我,나는,3,1
702,发,머리,3,1
703,纸,종이,3,1
704,光,빛,3,1
705,把,놓다,3,1
706,冬,겨울,3,1
707,通,...을 통하여,3,1
708,村,마을,3,1
709,硅基,실리콘 기반,3,2
710,我们,우리,3,2
711,他们,그들,3,2
712,星,별,3,1
713,没,아니,3,1
714,已,이미,3,1
715,命,생명,3,1
716,时,시각,3,1
717,没有,아니,3,2
718,起来,일어나,3,2
719,様,님,3,1
720,下,아래에,3,1
721,传,통과하다,3,1
722,前,전에,3,1
723,去,함께 가다,3,1
724,向,...에,3,1
725,舰,배,3,1
726,受,받다,2,1
727,蛯,크리켓,2,1
728,含,와,2,1
729,品,생성물,2,1
730,焦一,이자 오,2,2
731,度,정도,2,1
732,斉,제나라,2,1
733,由,으로,2,1
734,于,에,2,1
735,理,이유,2,1
736,帝,황제,2,1
737,国,국가,2,1
738,神,하느님,2,1
739,速,速,2,1
740,碳,탄소,2,1
741,联,노동 조합,2,1
742,邦,상태,2,1
743,离,...에서,2,1
744,香,香,2,1
745,又,또한,2,1
746,银,银,2,1
747,背,뒤,2,1
748,面,표면,2,1
749,只,뿐,2,1
750,千,千,2,1
751,块,조각,2,1
752,肚,양,2,1
753,疼,고통,2,1
754,钱,钱,2,1
755,儿,아이,2,1
756,基帝,고양이 새끼,2,2
757,帝国,제국,2,2
758,碳基,탄소 기반,2,2
759,基联,베이스 유니온,2,2
760,联邦,연방,2,2
761,烧香,향을 태우다,2,2
762,象以,처럼,2,2
763,在冬,겨울에,2,2
764,冬夜,겨울 밤,2,2
765,起了,일어나,2,2
766,秀秀,Xiuxiu,2,2
767,一些,약간,2,2
768,硅基帝,시지 디,2,3
769,基帝国,베이스 제국,2,3
770,碳基联,탄소 기반 연합,2,3
771,基联邦,기본 연합,2,3
772,在冬夜,在冬夜,2,3
773,硅基帝国,실리콘 제국,2,4
774,碳基联邦,탄소 기반 연맹,2,4
775,气,가스,2,1
776,转,회전,2,1
777,温,온도,2,1
778,中,에,2,1
779,烛,양초,2,1
780,从,에서,2,1
781,已没,지나간,2,2
782,生命,생명,2,2
783,时间,시각,2,2
784,已没有,더 이상은 없어,2,3
785,科,분기,2,1
786,閭科,루크,2,2
787,界,세계,2,1
788,以領,칼라에,2,2
789,領最,가장 많이 이끌어 라,2,2
790,最記,대부분의 기억,2,2
791,以領最,가장 리드하기 위해,2,3
792,領最記,가장 많이 이끌어 라,2,3
793,以領最記,가장 염두에 두는,2,4
794,递,통과하다,2,1
795,久,久,2,1
796,递送,배달,2,2
797,送到,전송,2,2
798,庚,Geng,2,1
799,挺,대단히,2,1
800,鵜,가마우지,2,1
801,追稼,追稼,2,2
802,検,검,2,1
803,湖,호수,2,1
804,湖出,밖으로 호수,2,2
805,友,친구,2,1
806,筑,짓다,2,1
807,渓,渓,2,1
808,远,멀리,2,1
809,超,극단론자,2,1
810,云,구름,2,1
811,清,맑은,2,1
812,抽,펌프,2,1
813,比,비율,2,1
814,质,품질,2,1
815,量,금액,2,1
816,反,안티,2,1
817,下来,내려와,2,2
818,通过,으로,2,2
819,过超,위에,2,2
820,超空,슈퍼 스페이스,2,2
821,空间,우주,2,2
822,与它,그것으로,2,2
823,通过超,슈퍼,2,3
824,过超空,우주 위로,2,3
825,超空间,초 공간,2,3
826,通过超空,초 공간을 통해,2,4
827,过超空间,초 공간,2,4
828,通过超空间,초 공간을 통해,2,5
829,依,에 따르면,2,1
830,烈,강한,2,1
831,歎,한숨,2,1
832,依烈,Yilie,2,2
833,幸,럭키,2,1
834,告,알리다,2,1
835,辑,편집하다,2,1
836,提,언급하다,2,1
837,旧,旧,2,1
838,道,타오,2,1
839,次,타임스,2,1
840,干,마른,2,1
841,他知,그는 알고있다,2,2
842,知道,알고있다,2,2
843,以前,전에,2,2
844,他知道,그는 알고있다,2,3
845,勇,용감한,2,1
846,标,표,2,1
847,赚,벌다,2,1
848,挨,참다,2,1
849,战,전쟁,2,1
850,目标,目标,2,2
851,大的,대 목표,2,2
852,战舰,전함,2,2
853,斜,비스듬한,1,1
854,斜頁,비스듬한 페이지,1,2
855,貫,허비하다,1,1
856,称貫,称貫,1,2
857,頂,頂,1,1
858,鼾,鼾,1,1
859,手頂,手頂,1,2
860,頂鼾,頂鼾,1,2
861,手頂鼾,手頂鼾,1,3
862,尭,尭,1,1
863,耐,耐,1,1
864,際,際,1,1
865,等,기다림,1,1
866,耐人,인내,1,2
867,峻,峻,1,1
868,陰,음,1,1
869,以陰,以陰,1,2
870,細記,細記,1,2
871,詳細記,자세한 기,1,3
872,跨,跨,1,1
873,篠,시노,1,1
874,章斉,章斉,1,2
875,篠能,篠能,1,2
876,息,息,1,1
877,贮,贮,1,1
878,处,处,1,1
879,预,预,1,1
880,测,测,1,1
881,第,第,1,1
882,旋,旋,1,1
883,臂,팔,1,1
884,顶,상단,1,1
885,端,종료,1,1
886,恢,恢,1,1
887,复,复,1,1
888,将,将,1,1
889,须,절대로 필요한 것,1,1
890,之,의,1,1
891,建,建,1,1
892,足,足,1,1
893,够,충분히,1,1
894,宽,宽,1,1
895,隔,隔,1,1
896,带,밴드,1,1
897,形,形,1,1
898,桔,주황색,1,1
899,红,红,1,1
900,灰,灰,1,1
901,景,전망,1,1
902,显,显,1,1
903,现,现,1,1
904,灶,灶,1,1
905,边,边,1,1
906,画,画,1,1
907,两,两,1,1
908,阵,阵,1,1
909,也,也,1,1
910,情,情,1,1
911,达,범위,1,1
912,百,백,1,1
913,西,西,1,1
914,北,北,1,1
915,农,农,1,1
916,区,区,1,1
917,彩,彩,1,1
918,礼,礼,1,1
919,名,이름,1,1
920,意,意,1,1
921,娘,娘,1,1
922,补,补,1,1
923,偿,偿,1,1
924,由于,由于,1,2
925,于硅,于硅,1,2
926,基生,基生,1,2
927,生物,生物,1,2
928,物对,物对,1,2
929,对信,对信,1,2
930,信息,信息,1,2
931,息的,息的,1,2
932,的存,的存,1,2
933,存贮,存贮,1,2
934,贮和,贮和,1,2
935,和处,和处,1,2
936,处理,다루다,1,2
937,理能,理能,1,2
938,能力,能力,1,2
939,力大,力大,1,2
940,大大,大大,1,2
941,大高,大高,1,2
942,高于,高于,1,2
943,于我,于我,1,2
944,可以,할 수있다,1,2
945,以预,以预,1,2
946,预测,预测,1,2
947,测硅,测硅,1,2
948,国在,国在,1,2
949,在第,在第,1,2
950,第一,第一,1,2
951,一旋,一旋,1,2
952,旋臂,旋臂,1,2
953,臂顶,臂顶,1,2
954,顶端,顶端,1,2
955,端的,端的,1,2
956,的恢,的恢,1,2
957,恢复,恢复,1,2
958,复和,复和,1,2
959,和发,헤파,1,2
960,发展,发展,1,2
961,展将,展将,1,2
962,将是,将是,1,2
963,是神,是神,1,2
964,神速,神速,1,2
965,速的,速的,1,2
966,所以,그래서,1,2
967,以我,나처럼,1,2
968,们必,们必,1,2
