,words,translate,frequency,ngram
1707,管能点,에너지 포인트,1,3
1708,能点多,더 주문할 수 있습니다,1,3
1709,点多长,点多长,1,3
1710,多长时,얼마나 오래,1,3
1711,长时间,长时间,1,3
1712,发出的,발행 된,1,3
1713,出的光,出的光,1,3
1714,的光有,的光有,1,3
1715,光有多,光有多,1,3
1716,有多亮,얼마나 밝습니까,1,3
1717,他总算,他总算,1,3
1718,总算是,总算是,1,3
1719,算是从,算是从,1,3
1720,是从头,기스로부터,1,3
1721,从头点,从头点,1,3
1722,头点到,머리,1,3
1723,点到尾,끝점,1,3
1724,到尾了,끝났어,1,3
1725,该行星没,该行星没,1,4
1726,行星没有,행성 아니,1,4
1727,星没有大,星没有大,1,4
1728,没有大气,분위기 없음,1,4
1729,自转缓慢,自转缓慢,1,4
1730,温差悬殊,温差悬殊,1,4
1731,娃们围着,娃们围着,1,4
1732,们围着老,우리는 오래된 것을 둘러싼 다,1,4
1733,围着老师,围着老师,1,4
1734,着老师已,着老师已,1,4
1735,老师已没,老师已没,1,4
1736,师已没有,교사 없음,1,4
1737,已没有生,已没有生,1,4
1738,没有生命,没有生命,1,4
1739,有生命的,有生命的,1,4
1740,生命的躯,삶의 몸,1,4
1741,命的躯体,시체,1,4
1742,的躯体大,큰 몸,1,4
1743,躯体大哭,躯体大哭,1,4
1744,体大哭起,외치는,1,4
1745,大哭起来,大哭起来,1,4
1746,但娃们还,하지만 아이들은 여전히,1,4
1747,娃们还是,娃们还是,1,4
1748,们还是有,们还是有,1,4
1749,还是有指,还是有指,1,4
1750,是有指望,是有指望,1,4
1751,有指望的,有指望的,1,4
1752,那些在冬,겨울에,1,4
1753,些在冬夜,些在冬夜,1,4
1754,在冬夜寒,겨울 밤에 추워,1,4
1755,冬夜寒冷,冬夜寒冷,1,4
1756,夜寒冷的,夜寒冷的,1,4
1757,寒冷的教,寒冷的教,1,4
1758,冷的教室,冷的教室,1,4
1759,的教室中,的教室中,1,4
1760,盯着烛光,盯着烛光,1,4
1761,着烛光照,着烛光照,1,4
1762,烛光照着,烛光照着,1,4
1763,光照着的,조명,1,4
1764,照着的黑,빛나는 블랙,1,4
1765,着的黑板,着的黑板,1,4
1766,的黑板的,的黑板的,1,4
1767,黑板的娃,黑板的娃,1,4
1768,板的娃们,板的娃们,1,4
1769,他就是那,他就是那,1,4
1770,就是那蜡,就是那蜡,1,4
1771,是那蜡烛,그 촛불인가,1,4
1772,不管能点,不管能点,1,4
1773,管能点多,管能点多,1,4
1774,能点多长,얼마나 오래 걸릴 수 있습니까,1,4
1775,点多长时,얼마나 오래,1,4
1776,多长时间,얼마나 오래,1,4
1777,发出的光,방출되는 빛,1,4
1778,出的光有,出的光有,1,4
1779,的光有多,的光有多,1,4
1780,光有多亮,光有多亮,1,4
1781,他总算是,他总算是,1,4
1782,总算是从,마지막으로,1,4
1783,算是从头,算是从头,1,4
1784,是从头点,是从头点,1,4
1785,从头点到,从头点到,1,4
1786,头点到尾,끝점,1,4
1787,点到尾了,点到尾了,1,4
1788,该行星没有,행성은하지 않습니다,1,5
1789,行星没有大,행성은 크지 않다,1,5
1790,星没有大气,星没有大气,1,5
1791,娃们围着老,娃们围着老,1,5
1792,们围着老师,们围着老师,1,5
1793,围着老师已,围着老师已,1,5
1794,着老师已没,着老师已没,1,5
1795,老师已没有,老师已没有,1,5
1796,师已没有生,师已没有生,1,5
1797,已没有生命,생명이 없다,1,5
1798,没有生命的,생명이없는,1,5
1799,有生命的躯,有生命的躯,1,5
1800,生命的躯体,生命的躯体,1,5
1801,命的躯体大,큰 몸,1,5
1802,的躯体大哭,우는 몸,1,5
1803,躯体大哭起,우는 몸,1,5
1804,体大哭起来,体大哭起来,1,5
1805,但娃们还是,但娃们还是,1,5
1806,娃们还是有,아이들은 여전히,1,5
1807,们还是有指,们还是有指,1,5
1808,还是有指望,还是有指望,1,5
1809,是有指望的,是有指望的,1,5
1810,那些在冬夜,那些在冬夜,1,5
1811,些在冬夜寒,겨울 밤에 약간 추워,1,5
1812,在冬夜寒冷,겨울 밤에 추워,1,5
1813,冬夜寒冷的,추운 겨울 밤,1,5
1814,夜寒冷的教,야간 추위 교육,1,5
1815,寒冷的教室,寒冷的教室,1,5
1816,冷的教室中,추운 교실에서,1,5
1817,盯着烛光照,촛불을 바라보며,1,5
1818,着烛光照着,촛불 조명,1,5
1819,烛光照着的,烛光照着的,1,5
1820,光照着的黑,光照着的黑,1,5
1821,照着的黑板,빛나는 칠판,1,5
1822,着的黑板的,칠판의,1,5
1823,的黑板的娃,칠판에 아기,1,5
1824,黑板的娃们,칠판의 아이들,1,5
1825,他就是那蜡,他就是那蜡,1,5
1826,就是那蜡烛,그게 촛불,1,5
1827,不管能点多,不管能点多,1,5
1828,管能点多长,튜브 에너지 포인트는 얼마입니까,1,5
1829,能点多长时,얼마나 오래 주문할 수 있습니까?,1,5
1830,点多长时间,얼마나 시간이 걸려요,1,5
1831,发出的光有,发出的光有,1,5
1832,出的光有多,出的光有多,1,5
1833,的光有多亮,빛이 얼마나 밝습니까,1,5
1834,他总算是从,그는 마침내,1,5
1835,总算是从头,마지막으로 다시 시작,1,5
1836,算是从头点,재시작,1,5
1837,是从头点到,처음부터,1,5
1838,从头点到尾,처음부터 끝까지,1,5
1839,头点到尾了,끝으로 종료,1,5
1840,沓,몇 번이고,1,1
1841,功,작업,1,1
1842,址,대지,1,1
1843,永,영원히,1,1
1844,错,잘못된,1,1
1845,误,오류,1,1
1846,因,때문에,1,1
1847,此,이,1,1
1848,放,놓다,1,1
1849,弃,버려진,1,1
1850,继,수행원,1,1
1851,续,续,1,1
1852,您的,너의,1,2
1853,的邮,게시물,1,2
1854,件不,조각,1,2
1855,不能,不能,1,2
1856,能成,될 수 있습니다,1,2
1857,成功,성공,1,2
1858,功的,기능의,1,2
1859,的递,통과하다,1,2
1860,到指,손가락에,1,2
1861,指定,지정,1,2
1862,定地,고정 된 장소,1,2
1863,地址,地址,1,2
1864,这是,这是,1,2
1865,是一,하나입니다,1,2
1866,个永,个永,1,2
1867,永久,영구적 인,1,2
1868,久的,낡은,1,2
1869,的错,'S 잘못,1,2
1870,错误,오류,1,2
1871,因此,따라서,1,2
1872,此不,이건 아니야,1,2
1873,不得,안돼,1,2
1874,得不,얻을 수 없습니다,1,2
1875,不放,기다려,1,2
1876,放弃,포기하다,1,2
1877,弃继,포기 됨,1,2
1878,继续,계속하다,1,2
1879,续递,고쳐 쓰다,1,2
1880,您的邮,귀하의 게시물,1,3
1881,的邮件,s 메일,1,3
1882,邮件不,메일이 아닙니다,1,3
1883,件不能,조각은 할 수 없습니다,1,3
1884,不能成,수 없습니다,1,3
1885,能成功,能成功,1,3
1886,成功的,성공한,1,3
1887,功的递,작업 이전,1,3
1888,的递送,배달,1,3
1889,递送到,递送到,1,3
1890,送到指,보내기,1,3
1891,到指定,지정하려면,1,3
1892,指定地,지정 장소,1,3
1893,定地址,고정 주소,1,3
1894,这是一,이것은 하나입니다,1,3
1895,是一个,이다,1,3
1896,一个永,영원히,1,3
1897,个永久,个永久,1,3
1898,永久的,영구적 인,1,3
1899,久的错,긴 결함,1,3
1900,的错误,잘못,1,3
1901,因此不,따라서,1,3
1902,此不得,안돼,1,3
1903,不得不,해야,1,3
1904,得不放,기다려,1,3
1905,不放弃,不放弃,1,3
1906,放弃继,포기,1,3
1907,弃继续,弃继续,1,3
1908,继续递,계속 통과,1,3
1909,续递送,배송 계속,1,3
1910,您的邮件,귀하의 이메일,1,4
1911,的邮件不,'S 메일이 아닙니다,1,4
1912,邮件不能,메일은 할 수 없습니다,1,4
1913,件不能成,조각을 만들 수 없습니다,1,4
1914,不能成功,不能成功,1,4
1915,能成功的,성공할 수있다,1,4
1916,成功的递,성공적인 배송,1,4
1917,功的递送,전력 공급,1,4
1918,的递送到,배달 됨,1,4
1919,递送到指,배달 됨,1,4
1920,送到指定,지정된 사람에게 보냄,1,4
1921,到指定地,지정된 장소로,1,4
1922,指定地址,지정 주소,1,4
1923,这是一个,이것은,1,4
1924,是一个永,용입니다,1,4
1925,一个永久,一个永久,1,4
1926,个永久的,영구적 인,1,4
1927,永久的错,영구적 인 결함,1,4
1928,久的错误,긴 실수,1,4
1929,因此不得,따라서,1,4
1930,此不得不,나는해야한다,1,4
1931,不得不放,不得不放,1,4
1932,得不放弃,포기해야 해,1,4
1933,不放弃继,포기 하지마,1,4
1934,放弃继续,포기하고 계속,1,4
1935,弃继续递,계속 통과,1,4
1936,继续递送,继续递送,1,4
1937,您的邮件不,귀하의 메일은,1,5
1938,的邮件不能,캔트,1,5
1939,邮件不能成,메일을 보낼 수 없습니다,1,5
1940,件不能成功,조각은 성공할 수 없습니다,1,5
1941,不能成功的,실패,1,5
1942,能成功的递,能成功的递,1,5
1943,成功的递送,성공적인 배송,1,5
1944,功的递送到,작업 배달,1,5
1945,的递送到指,에 배달하다,1,5
1946,递送到指定,지정된 곳에 배달,1,5
1947,送到指定地,지정된 장소로 보냄,1,5
1948,到指定地址,지정된 주소로,1,5
1949,这是一个永,용입니다,1,5
1950,是一个永久,영구적입니다,1,5
1951,一个永久的,영구,1,5
1952,个永久的错,영구적 인 결함,1,5
1953,永久的错误,영구적 인 오류,1,5
1954,因此不得不,따라서,1,5
1955,此不得不放,이것은 넣어야합니다,1,5
1956,不得不放弃,포기해야 해,1,5
1957,得不放弃继,포기해야 해,1,5
1958,不放弃继续,포기하지 말고 계속,1,5
1959,放弃继续递,포기하고 계속,1,5
1960,弃继续递送,배송 계속,1,5
1961,墜,가을,1,1
1962,妬,질투심 많은,1,1
1963,推,푸시,1,1
1964,賞,상,1,1
1965,痛,고통,1,1
1966,叩,노크,1,1
1967,設墜,세트 펜던트,1,2
1968,設挺,設挺,1,2
1969,挺推,푸시,1,2
1970,推賞,推賞,1,2
1971,設叩,노크 설정,1,2
1972,設挺推,푸시 설정,1,3
1973,挺推賞,상당한 보상,1,3
1974,設挺推賞,設挺推賞,1,4
1975,践,연습,1,1
1976,証,증거,1,1
1977,証人,증인,1,2
1978,弾,총알,1,1
1979,当,언제,1,1
1980,便,고물,1,1
1981,吉,지,1,1
1982,謦,음,1,1
1983,軍,군,1,1
1984,致,에,1,1
1985,堅,강한,1,1
1986,蕃,부채,1,1
1987,版,버전,1,1
1988,上当,上当,1,2
1989,体渓,体渓,1,2
1990,便吉,便吉,1,2
1991,摸軍,摸軍,1,2
1992,手堅,手堅,1,2
1993,面版,패널,1,2
1994,蜒,뱀,1,1
1995,粛,粛,1,1
1996,蜒粛,粛,1,2
1997,偏,偏,1,1
1998,届確,정확한,1,2
1999,阁,법정,1,1
2000,很,대단히,1,1
2001,紧,紧,1,1
2002,遥,먼,1,1
2003,无,아니,1,1
2004,法,법,1,1
2005,太,너무,1,1
2006,代,세대,1,1
2007,谣,소문,1,1
2008,听,들리다,1,1
2009,悠,悠,1,1
2010,苍,푸른,1,1
2011,凉,멋있는,1,1
2012,遍,온통,1,1
2013,整,전부의,1,1
2014,河,강,1,1
2015,团,그룹,1,1
2016,亿,십억,1,1
2017,颗,조각,1,1
2018,恒,일정한,1,1
2019,组,组,1,1
2020,数,번호,1,1
2021,感,감각,1,1
2022,种,종,1,1
2023,消,죽이다,1,1
2024,失,잃다,1,1
2025,宁,차라리,1,1
2026,静,조용한,1,1
2027,泣,울음,1,1
2028,加,...을 더한,1,1
2029,阁下,당신의 힘,1,2
2030,们时,언제,1,2
2031,间很,시간은 매우,1,2
2032,很紧,아주 꽉 끼는,1,2
2033,紧了,빠듯한,1,2
2034,那从,그것에서,1,2
2035,从遥,콩 야오,1,2
2036,遥远,먼,1,2
2037,远得,멀리,1,2
2038,得无,아무것도 얻지 못함,1,2
2039,无法,할 수없는,1,2
2040,法想,Faxiang,1,2
2041,想象,상상,1,2
2042,象的,코끼리,1,2
2043,的太,的太,1,2
2044,太古,Taikoo,1,2
2045,古时,상대,1,2
2046,时代,연대,1,2
2047,代传,세대,1,2
2048,传下,아래로 통과,1,2
2049,来的,오는,1,2
2050,的歌,s 노래,1,2
2051,歌谣,민요,1,2
2052,谣听,소문,1,2
2053,听起,소리,1,2
2054,来悠,요 라이,1,2
2055,悠远,먼,1,2
2056,神秘,신비한,1,2
2057,苍凉,苍凉,1,2
2058,它传,퍼졌다,1,2
2059,传遍,온통 퍼져,1,2
2060,遍了,온통,1,2
2061,了整,了整,1,2
2062,整个,整个,1,2
2063,个银,은,1,2
2064,银河,은하,1,2
2065,河系,하천 시스템,1,2
2066,在这,이것에,1,2
2067,这团,이 그룹,1,2
2068,团由,임무,1,2
2069,由上,由上,1,2
2070,上千,수천,1,2
2071,千亿,수백억,1,2
2072,亿颗,십억,1,2
2073,颗恒,Keheng,1,2
2074,恒星,별,1,2
2075,星组,星组,1,2
2076,组成,组成,1,2
2077,成的,만든,1,2
2078,的星,으로 별,1,2
2079,星云,星云,1,2
2080,云中,클라우드에서,1,2
2081,数不,셀 수 없는,1,2
2082,不清,불명확,1,2
2083,清的,清的,1,2
2084,的生,초점 생,1,2
2085,命感,운명,1,2
2086,感到,느낌,1,2
2087,到了,도착,1,2
2088,了一,ㅏ,1,2
2089,一种,종류,1,2
2090,种久,오랫동안 심기,1,2
2091,久已,장기,1,2
2092,已消,제거됨,1,2
2093,消失,사라지다,1,2
2094,失的,잃어버린,1,2
2095,的温,목표 온도,1,2
2096,温馨,따뜻한,1,2
2097,馨和,신허,1,2
2098,和宁,和宁,1,2
2099,宁静,평화로운,1,2
2100,们抽,우리는 담배,1,2
2101,抽泣,흐느껴 우는,1,2
2102,泣着,울음,1,2
2103,着背,뒤,1,2
2104,背了,뒤,1,2
2105,了起,일어나서,1,2
2106,个物,성격,1,2
2107,物体,목적,1,2
2108,体的,몸으로,1,2
2109,的加,的加,1,2
2110,加速,加速,1,2
2111,速度,速度,1,2
2112,它所,它所,1,2
2113,所受,所受,1,2
2114,受的,受的,1,2
2115,的力,힘,1,2
2116,力成,力成,1,2
2117,成正,成正,1,2
2118,正比,正比,1,2
2119,它的,이것의,1,2
2120,的质,품질,1,2
2121,质量,품질,1,2
2122,量成,量成,1,2
2123,成反,成反,1,2
2124,反比,反比,1,2
2125,我们时,우리 시간,1,3
2126,们时间,우리 시간,1,3
2127,时间很,时间很,1,3
2128,间很紧,아주 꽉 끼는,1,3
2129,很紧了,아주 꽉 끼는,1,3
2130,那从遥,那从遥,1,3
2131,从遥远,멀리에서왔다,1,3
2132,遥远得,遥远得,1,3
2133,远得无,멀리,1,3
2134,得无法,캔트,1,3
2135,无法想,생각할 수 없다,1,3
2136,法想象,프랑스 상상력,1,3
2137,想象的,상상력,1,3
2138,象的太,코끼리도,1,3
2139,的太古,Taikoo,1,3
2140,太古时,太古时,1,3
2141,古时代,古时代,1,3
2142,时代传,时代传,1,3
2143,代传下,代传下,1,3
2144,传下来,传下来,1,3
2145,下来的,下来的,1,3
2146,来的歌,오는 노래,1,3
2147,的歌谣,的歌谣,1,3
2148,歌谣听,歌谣听,1,3
2149,谣听起,소문,1,3
2150,听起来,听起来,1,3
2151,起来悠,起来悠,1,3
2152,来悠远,来悠远,1,3
2153,它传遍,它传遍,1,3
2154,传遍了,온통 퍼져,1,3
2155,遍了整,온통,1,3
2156,了整个,전체 위로,1,3
2157,整个银,전체 실버,1,3
2158,个银河,个银河,1,3
2159,银河系,银河系,1,3
2160,在这团,이 그룹에서,1,3
2161,这团由,这团由,1,3
2162,团由上,투안 유 샹,1,3
2163,由上千,수천에서,1,3
2164,上千亿,上千亿,1,3
2165,千亿颗,千亿颗,1,3
2166,亿颗恒,亿颗恒,1,3
2167,颗恒星,별,1,3
2168,恒星组,恒星组,1,3
2169,星组成,별 구성,1,3
2170,组成的,组成的,1,3
2171,成的星,成的星,1,3
2172,的星云,성운,1,3
2173,星云中,星云中,1,3
2174,数不清,数不清,1,3
2175,不清的,不清的,1,3
2176,清的生,清的生,1,3
2177,的生命,的生命,1,3
2178,生命感,삶의 감각,1,3
2179,命感到,운명,1,3
2180,感到了,感到了,1,3
2181,到了一,도착,1,3
2182,了一种,了一种,1,3
2183,一种久,一种久,1,3
2184,种久已,种久已,1,3
2185,久已消,久已消,1,3
2186,已消失,사라졌다,1,3
2187,消失的,사라졌다,1,3
2188,失的温,失的温,1,3
2189,的温馨,的温馨,1,3
2190,温馨和,温馨和,1,3
2191,馨和宁,馨和宁,1,3
2192,和宁静,그리고 평온,1,3
2193,娃们抽,어린이 펌프,1,3
2194,们抽泣,们抽泣,1,3
2195,抽泣着,흐느껴 우는,1,3
2196,泣着背,泣着背,1,3
2197,着背了,뒤,1,3
2198,背了起,背了起,1,3
2199,了起来,了起来,1,3
2200,一个物,一个物,1,3
2201,个物体,个物体,1,3
2202,物体的,物体的,1,3
2203,体的加,신체 추가,1,3
2204,的加速,가속,1,3
2205,加速度,가속,1,3
2206,与它所,与它所,1,3
2207,它所受,고통,1,3
2208,所受的,소 受的,1,3
2209,受的力,受的力,1,3
2210,的力成,的力成,1,3
2211,力成正,리 청정,1,3
2212,成正比,成正比,1,3
2213,与它的,与它的,1,3
2214,它的质,품질,1,3
2215,的质量,품질,1,3
2216,质量成,质量成,1,3
2217,量成反,量成反,1,3
2218,成反比,成反比,1,3
2219,我们时间,我们时间,1,4
2220,们时间很,우리는 시간이 많다,1,4
2221,时间很紧,时间很紧,1,4
2222,间很紧了,间很紧了,1,4
2223,那从遥远,멀리에서왔다,1,4
2224,从遥远得,从遥远得,1,4
2225,遥远得无,멀리,1,4
2226,远得无法,너무 멀리,1,4
2227,得无法想,생각할 수 없다,1,4
2228,无法想象,无法想象,1,4
2229,法想象的,法想象的,1,4
2230,想象的太,상상도,1,4
2231,象的太古,Taikoo,1,4
2232,的太古时,的太古时,1,4
2233,太古时代,상대,1,4
2234,古时代传,상대,1,4
2235,时代传下,시간이 흘러,1,4
2236,代传下来,대대로 물려받은,1,4
2237,传下来的,传下来的,1,4
2238,下来的歌,다운 노래,1,4
2239,来的歌谣,발라드,1,4
2240,的歌谣听,듣기,1,4
2241,歌谣听起,歌谣听起,1,4
2242,谣听起来,谣听起来,1,4
2243,听起来悠,긴 소리,1,4
2244,起来悠远,起来悠远,1,4
2245,它传遍了,它传遍了,1,4
2246,传遍了整,传遍了整,1,4
2247,遍了整个,온통,1,4
2248,了整个银,전체 실버,1,4
2249,整个银河,은하 전체,1,4
2250,个银河系,은하수,1,4
2251,在这团由,이 그룹에서,1,4
2252,这团由上,이 그룹은 상단에서,1,4
2253,团由上千,수천 개의 그룹,1,4
2254,由上千亿,수 천억에서,1,4
2255,上千亿颗,수백억,1,4
2256,千亿颗恒,수십억 개의 상수,1,4
2257,亿颗恒星,10 억 개의 별,1,4
2258,颗恒星组,스타 그룹,1,4
2259,恒星组成,별 구성,1,4
2260,星组成的,별들로 만든,1,4
2261,组成的星,구성된 별,1,4
2262,成的星云,성운,1,4
2263,的星云中,的星云中,1,4
2264,数不清的,몇 不清的,1,4
2265,不清的生,불명확 한 삶,1,4
2266,清的生命,청의 삶,1,4
2267,的生命感,삶의 감각,1,4
2268,生命感到,삶의 느낌,1,4
2269,命感到了,命感到了,1,4
2270,感到了一,펠트,1,4
2271,到了一种,에,1,4
2272,了一种久,오랫동안,1,4
2273,一种久已,오랜만에,1,4
2274,种久已消,오래 전에,1,4
2275,久已消失,久已消失,1,4
2276,已消失的,사라졌다,1,4
2277,消失的温,소실 온도,1,4
2278,失的温馨,잃어버린 따뜻함,1,4
2279,的温馨和,따뜻함과,1,4
2280,温馨和宁,따뜻하고 평화로운,1,4
2281,馨和宁静,馨和宁静,1,4
2282,娃们抽泣,우는 아이들,1,4
2283,们抽泣着,우리는 울었다,1,4
2284,抽泣着背,다시 흐느끼며,1,4
2285,泣着背了,다시 울고,1,4
2286,着背了起,백업,1,4
2287,背了起来,백업,1,4
2288,一个物体,一个物体,1,4
2289,个物体的,목적,1,4
2290,物体的加,개체 추가,1,4
2291,体的加速,신체 가속,1,4
2292,的加速度,가속,1,4
2293,与它所受,그리고 그것은 고통받습니다,1,4
2294,它所受的,고통,1,4
2295,所受的力,소 受的 힘,1,4
2296,受的力成,힘,1,4
2297,的力成正,리 청정,1,4
2298,力成正比,힘은 비례,1,4
2299,与它的质,그리고 그 품질,1,4
2300,它的质量,품질,1,4
2301,的质量成,품질에,1,4
2302,质量成反,质量成反,1,4
2303,量成反比,量成反比,1,4
2304,我们时间很,우리는 시간이 많다,1,5
2305,们时间很紧,우리는 꽉,1,5
2306,时间很紧了,시간이 촉박하다,1,5
2307,那从遥远得,멀리에서왔다,1,5
2308,从遥远得无,멀리에서왔다,1,5
2309,遥远得无法,너무 멀리,1,5
2310,远得无法想,생각하기에 너무 멀다,1,5
2311,得无法想象,상상할 수 없는,1,5
2312,无法想象的,믿을 수 없는,1,5
2313,法想象的太,法想象的太,1,5
2314,想象的太古,想象的太古,1,5
2315,象的太古时,상대,1,5
2316,的太古时代,상대,1,5
2317,太古时代传,Taikoo 약력,1,5
2318,古时代传下,고대에 전해지는,1,5
2319,时代传下来,시간이 흘러,1,5
2320,代传下来的,대대로 물려받은,1,5
2321,传下来的歌,전해지는 노래,1,5
2322,下来的歌谣,다운 노래,1,5
2323,来的歌谣听,들으러 오세요,1,5
2324,的歌谣听起,발라드,1,5
2325,歌谣听起来,발라드 소리,1,5
2326,谣听起来悠,소문이 길다,1,5
2327,听起来悠远,멀리있는 소리,1,5
2328,它传遍了整,그것은 전체에 퍼졌다,1,5
2329,传遍了整个,널리 퍼 뜨리다,1,5
2330,遍了整个银,실버 온통,1,5
2331,了整个银河,은하 전체,1,5
2332,整个银河系,은하 전체,1,5
2333,在这团由上,이 그룹에서,1,5
2334,这团由上千,이 그룹은 수천 개의,1,5
2335,团由上千亿,수 천억 그룹화,1,5
2336,由上千亿颗,수 천억에서,1,5
2337,上千亿颗恒,수십억 개의 상수,1,5
2338,千亿颗恒星,수백억 개의 별,1,5
2339,亿颗恒星组,10 억 개의 별,1,5
2340,颗恒星组成,별 구성,1,5
2341,恒星组成的,별들로 만든,1,5
2342,星组成的星,별 만든 별,1,5
2343,组成的星云,성운,1,5
2344,成的星云中,성운에서,1,5
2345,数不清的生,수많은 삶,1,5
2346,不清的生命,불명확 한 삶,1,5
2347,清的生命感,명확한 삶의 감각,1,5
2348,的生命感到,삶의 느낌,1,5
2349,生命感到了,인생은 느꼈다,1,5
2350,命感到了一,운명,1,5
2351,感到了一种,펠트,1,5
2352,到了一种久,오랫동안,1,5
2353,了一种久已,오랜만에,1,5
2354,一种久已消,오래 잃어버린,1,5
2355,种久已消失,오래 전에,1,5
2356,久已消失的,오래 전에,1,5
2357,已消失的温,사라진 웬,1,5
2358,消失的温馨,사라진 온기,1,5
2359,失的温馨和,잃어버린 따뜻함과,1,5
2360,的温馨和宁,따뜻하고 평화로운,1,5
2361,温馨和宁静,따뜻하고 평화로운,1,5
2362,娃们抽泣着,아이들은 흐느끼며,1,5
2363,们抽泣着背,다시 흐느끼며,1,5
2364,抽泣着背了,다시 흐느끼며,1,5
2365,泣着背了起,흐느껴 우는,1,5
2366,着背了起来,백업,1,5
2367,一个物体的,개체의,1,5
2368,个物体的加,개체 추가,1,5
2369,物体的加速,물체의 가속,1,5
2370,体的加速度,신체 가속,1,5
2371,与它所受的,그리고 그것이 겪는 것,1,5
2372,它所受的力,받는 힘,1,5
2373,所受的力成,힘,1,5
2374,受的力成正,힘이 옳다,1,5
2375,的力成正比,비례,1,5
2376,与它的质量,그리고 그 품질,1,5
2377,它的质量成,품질,1,5
2378,的质量成反,품질,1,5
2379,质量成反比,품질은 반비례합니다.,1,5
2380,橡,참나무,1,1
2381,診,진단,1,1
2382,運閧,운,1,2
2383,橡嬬,오크,1,2
2384,骰,주사위,1,1
2385,然,물론이야,1,1
2386,宣,알리다,1,1
2387,宣告,알리다,1,2
2388,开,열다,1,1
2389,各,마다,1,1
2390,符,상징,1,1
2391,抛,던지다,1,1
2392,莉,리,1,1
2393,靡,기발한,1,1
2394,卫,가드,1,1
2395,规,규제,1,1
2396,飞,파리,1,1
2397,冻,얼다,1,1
2398,普,일반,1,1
2399,问,물어보기,1,1
2400,增,증가하다,1,1
2401,沟,도랑,1,1
2402,韦,웨이,1,1
2403,眩,핑,1,1
2404,嘌,퓨린,1,1
2405,克,그램,1,1
2406,派,보내다,1,1
2407,宋,노래,1,1
2408,晶,결정,1,1
2409,兴,싱,1,1
2410,凤,불사조,1,1
2411,少,적게,1,1
2412,椿,동백,1,1
2413,九,아홉,1,1
2414,树,나무,1,1
2415,药,약,1,1
2416,档,파일,1,1
2417,戴,입고,1,1
2418,唯,뿐,1,1
2419,详,상세한,1,1
2420,肋,늑골,1,1
2421,俭,무성한,1,1
2422,电,전기,1,1
2423,禄,루,1,1
2424,燕,Yan,1,1
2425,狱,감옥,1,1
2426,张,장,1,1
2427,炒,튀김,1,1
2428,先,먼저,1,1
2429,雨,비,1,1
2430,贵,비싼,1,1
2431,首,먼저,1,1
2432,蒋,치앙,1,1
2433,翟,디,1,1
2434,滓,침전물,1,1
2435,率,율,1,1
2436,耀,빛나는,1,1
2437,伽,伽,1,1
2438,迹,자취,1,1
2439,匀,제복,1,1
2440,咖,커피,1,1
2441,贝,껍질,1,1
2442,钨,텅스텐,1,1
2443,辑申,응용 프로그램 편집,1,2
2444,符抛,부적,1,2
2445,抛莉,Paoli,1,2
2446,靡卫,미 웨이,1,2
2447,卫申,웨이 션,1,2
2448,折飞,Zhefei,1,2
2449,飞冻,겨울 왕국,1,2
2450,待问,요청,1,2
2451,韦眩,韦眩,1,2
2452,挺宋,팅송,1,2
2453,宋晶,송 징,1,2
2454,注少,덜 참고,1,2
2455,少椿,Shaochun,1,2
2456,提树,멘션 트리,1,2
2457,档戴,파일 다이,1,2
2458,戴唯,다이 웨이,1,2
2459,邮肋,포스트 리브,1,2
2460,肋俭,절약,1,2
2461,禄燕,루 얀,1,2
2462,燕狱,얀 감옥,1,2
2463,贵成,구이 청,1,2
2464,幸蒋,싱 지앙,1,2
2465,蒋翟,지앙 디,1,2
2466,滓率,드롭률,1,2
2467,率耀,슈야 오,1,2
2468,迹匀,심지어 추적,1,2
2469,谷贝,고베,1,2
2470,贝钨,베이 퉁,1,2
2471,符抛莉,푸 파올리,1,3
2472,靡卫申,미 웨이 쉔,1,3
2473,折飞冻,냉동 비행,1,3
2474,挺宋晶,팅 송 징,1,3
